new_screening_id,previous_screening_id,match_method,manual_level3_decision,new_title,previous_title,year,doi
NS1895,NS1902,doi,OUT,Optimizing Large-Scale Inorganic Processes: Model-Based Digital Design of RH-DS Apparatus,Optimizing Large-Scale Inorganic Processes: Model-Based Digital Design of RH-DS Apparatus,2025,10.3390/pr13010077
NS1899,NS1907,doi,OUT,Security Compliance for Smart Manufacturing Using Knowledgegraph Based Digital Twin,Security Compliance for Smart Manufacturing Using Knowledgegraph Based Digital Twin,2025,10.1109/BigData66926.2025.11402304
NS1900,NS1908,doi,OUT,A Digital-Twin-Based Robotic Machining Allowance Evaluating System for High-Speed Train Axle,A Digital-Twin-Based Robotic Machining Allowance Evaluating System for High-Speed Train Axle,2025,10.1109/TMECH.2025.3627230
NS1901,NS1909,doi,OUT,AI-Powered Cloud-Based ERP Solutions Transforming Product Lifecycle Management in the Manufacturing Sector,AI-Powered Cloud-Based ERP Solutions Transforming Product Lifecycle Management in the Manufacturing Sector,2025,10.1109/GINOTECH63460.2025.11076971
NS1903,NS1911,doi,OUT,Digital Twin-Based Production-Logistics Synchronization System for Satellite Mass Assembly Shop-Floor,Digital Twin-Based Production-Logistics Synchronization System for Satellite Mass Assembly Shop-Floor,2024,10.1186/s10033-024-01148-9
NS1907,NS1915,doi,OUT,Industry 5.0 with AI Applications for Smart and Sustainable Production,Industry 5.0 with AI Applications for Smart and Sustainable Production,2025,10.1007/978-3-031-95194-7_6
NS1909,NS1917,doi,OUT,Evolution of Smart Manufacturing Systems: The Role and Future of Industry 4.0 Technologies,Evolution of Smart Manufacturing Systems: The Role and Future of Industry 4.0 Technologies,2025,10.1109/ISAS66241.2025.11101783
NS1912,NS1919,doi,OUT,Active monitoring of production status in discrete manufacturing workshops driven by digital twins,Active monitoring of production status in discrete manufacturing workshops driven by digital twins,2024,10.1007/s00170-024-14578-5
NS1915,NS1923,doi,OUT,Sustainable Diffusion-Based Incentive Mechanism for Generative AI-Driven Digital Twins in Industrial Cyber-Physical Systems,Sustainable Diffusion-Based Incentive Mechanism for Generative AI-Driven Digital Twins in Industrial Cyber-Physical Systems,2025,10.1109/TICPS.2024.3524483
NS1916,NS1924,doi,OUT,Collaborative Robots as an Engineering Tool for the Transition of the Food Industry to Industry 5.0 †,Collaborative Robots as an Engineering Tool for the Transition of the Food Industry to Industry 5.0 †,2025,10.3390/engproc2025100057
NS1917,NS1925,doi,OUT,"Development of an Immersive, Digital Twin-Supported Smart Reconfigurable Educational Platform for Manufacturing Training: A Proof of Concept","Development of an Immersive, Digital Twin-Supported Smart Reconfigurable Educational Platform for Manufacturing Training: A Proof of Concept",2024,10.56578/jemse030402
