level4_full_text_decision;has_local_pdf;title;first_author;year;level3_manual_decision;previous_object_classification;zotero_item_key;pdf_attachment_key;pdf_path;note
INCLUDE_FULL_TEXT;TRUE;Cognitive digital twin in manufacturing process: integrating the knowledge graph for enhanced human-centric Industry 5.0;Su C.;2024;IN;production system object;83NI78DZ;UPYTIYIE;/Users/bohanleng/Zotero/storage/UPYTIYIE/C et al. - 2024 - Cognitive digital twin in manufacturing process integrating the knowledge graph for enhanced human-.pdf;
INCLUDE_FULL_TEXT;TRUE;Integrating digital twins in metal sink factories: A pathway to smart manufacturing;Kappatos V.;2024;IN;production system object;VLR3S7T8;LBWGMILV;/Users/bohanleng/Zotero/storage/LBWGMILV/V et al. - 2024 - Integrating digital twins in metal sink factories A pathway to smart manufacturing.pdf;
INCLUDE_FULL_TEXT;TRUE;A multi-dimensional evolution modeling method for digital twin process model;Liu J.;2024;IN;other or general;H782THRV;E2CD2F9S;/Users/bohanleng/Zotero/storage/E2CD2F9S/J et al. - 2024 - A multi-dimensional evolution modeling method for digital twin process model.pdf;
INCLUDE_FULL_TEXT;TRUE;Methods to Enable Evolvable Digital Twins for Flexible Automated Production Systems;Vogel-Heuser B.;2024;IN;production system object;ZM6ATFXN;89EYKY2N;/Users/bohanleng/Zotero/storage/89EYKY2N/B et al. - 2024 - Methods to Enable Evolvable Digital Twins for Flexible Automated Production Systems.pdf;
INCLUDE_FULL_TEXT;TRUE;Robust Online Update of Digital Twin for Flexible Automation Cell;Ramasamy S.;2024;IN;production system object;V9ZEJ9RC;KPI83WI3;/Users/bohanleng/Zotero/storage/KPI83WI3/S et al. - 2024 - Robust Online Update of Digital Twin for Flexible Automation Cell.pdf;
INCLUDE_FULL_TEXT;TRUE;Co-evolutionary digital twins: A multidimensional dynamic approach to digital engineering;Tong X.;2024;IN;other or general;3HSNM2CX;JUJZNLWB;/Users/bohanleng/Zotero/storage/JUJZNLWB/X et al. - 2024 - Co-evolutionary digital twins A multidimensional dynamic approach to digital engineering.pdf;
INCLUDE_FULL_TEXT;TRUE;Digital Twin of Cyber-Physical CNC for Smart Manufacturing;Williams B.;2023;IN;other or general;6WQY4Q5D;84PGITAD;/Users/bohanleng/Zotero/storage/84PGITAD/B et al. - 2023 - Digital Twin of Cyber-Physical CNC for Smart Manufacturing.pdf;
INCLUDE_FULL_TEXT;TRUE;Towards discrete manufacturing workshop-oriented digital twin model: Modeling, verification and evolution;Qian W.;2023;IN;production system object;TRXQ3X7A;EUAK5E27;/Users/bohanleng/Zotero/storage/EUAK5E27/W et al. - 2023 - Towards discrete manufacturing workshop-oriented digital twin model Modeling, verification and evol.pdf;
INCLUDE_FULL_TEXT;TRUE;Updating digital twins: Methodology for data accuracy quality control using machine learning techniques;Rodríguez F.;2023;IN;other or general;969Q4T83;2ZZRRD9H;/Users/bohanleng/Zotero/storage/2ZZRRD9H/F et al. - 2023 - Updating digital twins Methodology for data accuracy quality control using machine learning techniq.pdf;
INCLUDE_FULL_TEXT;TRUE;A modelling and updating approach of digital twin based on surrogate model to rapidly evaluate product performance;Liu X.;2023;IN;other or general;S9ME24AN;RJTQ8CL4;/Users/bohanleng/Zotero/storage/RJTQ8CL4/X et al. - 2023 - A modelling and updating approach of digital twin based on surrogate model to rapidly evaluate produ.pdf;
